,city,latitude,temperature,humidity,cloud,wind speed
52,Ahuimanu,21.44,83.16,78,40,11.41
53,Hanyang,32.14,68.02,96,100,4.27
54,Castries,43.68,70.3,40,0,4.7
55,Kirakira,-10.46,79.9,86,100,18.05
56,Svetogorsk,61.11,50.79,93,0,3.36
57,Gawler,-34.6,53.89,93,75,8.05
58,Vaini,15.34,71.6,94,40,4.7
59,Albany,42.65,65.07,82,1,4.7
60,Haines Junction,60.75,56.5,52,98,11.3
61,Longyearbyen,78.22,42.8,87,75,4.7
62,Kampong Cham,11.99,86.02,69,96,1.63
63,Mahebourg,-20.41,70.27,56,75,16.11
64,Ribeira Grande,38.52,68.74,69,0,6.64
65,Hobart,-42.88,55.69,54,75,13.87
66,Hilo,19.71,82.2,58,75,10.29
67,Kendari,-3.99,84.22,59,30,2.84
68,Lompoc,34.64,70.32,46,0,11.41
69,Port Lincoln,-34.72,55.96,83,100,5.01
70,Nantucket,41.28,69.35,88,1,5.82
71,Roebourne,-20.77,75.4,14,0,21.65
72,Mataura,-46.19,44.01,95,100,5.01
73,Hobart,-42.88,55.69,54,75,13.87
74,Port Lincoln,-34.72,55.96,83,100,5.01
75,La Ronge,55.1,66.2,59,40,6.93
76,Rikitea,-23.12,73.24,78,0,12.1
77,Cape Town,-33.93,48.24,100,0,3.36
78,Touros,-5.2,75.2,88,75,3.36
79,Cape Town,-33.93,48.24,100,0,3.36
80,Coquimbo,-29.95,52.07,93,0,5.14
81,Upernavik,72.79,47.5,66,42,3.42
82,Barrow,-38.31,40.84,73,0,6.11
83,Marzuq,14.4,77.74,40,100,4.5
84,Rikitea,-23.12,73.24,78,0,12.1
85,Ajdabiya,30.75,78.82,89,46,15.57
86,East London,-33.02,51.82,94,0,4.25
87,Rikitea,-23.12,73.24,78,0,12.1
88,Butaritari,3.07,83.5,75,98,15.21
89,Souillac,45.6,58.95,72,0,7.67
90,Jamestown,-33.21,53.26,83,92,5.08
91,Bredasdorp,-34.53,47.28,93,0,2.24
92,Esperance,-33.86,50.0,76,0,13.87
93,Saskylakh,71.97,51.46,70,100,5.26
94,Srednekolymsk,67.46,63.16,35,65,17.11
95,Pijijiapan,15.69,86.2,67,2,4.34
96,Mitha Tiwana,32.24,83.5,66,19,1.66
97,Rincon,8.46,69.24,88,40,2.24
98,Saldanha,41.42,67.84,53,0,7.47
99,Daru,-9.07,75.94,87,100,12.12
100,Katsuura,33.93,80.8,69,75,8.05
101,Hithadhoo,-0.6,82.06,77,96,19.46
102,Barrow,-38.31,40.84,73,0,6.11
103,Konskie,51.19,51.84,1,12,6.44
104,Hilo,19.71,82.2,58,75,10.29
105,Raudeberg,61.99,53.6,81,93,13.87
106,Srednekolymsk,67.46,63.16,35,65,17.11
107,Qaanaaq,77.48,42.82,67,100,2.24
108,Dikson,73.51,33.46,98,100,16.58
109,Pisco,-13.71,60.4,82,40,11.41
110,Aksarka,66.56,53.44,70,53,19.44
111,Carballo,43.21,62.56,93,75,10.29
112,Hobart,-42.88,55.69,54,75,13.87
113,Vaini,15.34,71.6,94,40,4.7
114,Batangafo,7.3,69.46,92,100,2.42
115,Rikitea,-23.12,73.24,78,0,12.1
116,Jutai,-1.71,72.7,93,0,3.18
117,Leningradskiy,69.38,35.62,94,100,0.94
118,Dutse,11.76,77.74,73,31,11.95
119,Barrow,-38.31,40.84,73,0,6.11
120,Arlit,18.74,93.58,20,84,8.37
121,Saint-Philippe,45.36,69.19,82,1,8.46
122,Port Alfred,-33.59,57.0,89,0,3.0
123,Soyo,-6.13,71.44,92,82,3.27
124,Sitka,37.17,82.99,63,0,11.92
125,Ziarat,30.38,74.86,35,0,2.84
126,Auki,12.18,75.58,78,100,7.58
127,Rikitea,-23.12,73.24,78,0,12.1
128,Rikitea,-23.12,73.24,78,0,12.1
129,Chernyshevskiy,63.01,74.86,38,0,6.67
130,Saskylakh,71.97,51.46,70,100,5.26
131,El Coyote,24.99,69.28,67,77,4.85
132,Tasiilaq,65.61,46.4,87,99,2.24
133,Rikitea,-23.12,73.24,78,0,12.1
134,Rawson,-43.3,49.48,39,100,11.86
135,Jumla,29.28,53.62,85,98,1.61
136,Muros,42.77,63.5,93,75,6.93
137,Atuona,-9.8,79.9,80,1,15.7
138,Ponta do Sol,-20.63,66.58,48,73,4.16
139,Mataura,-46.19,44.01,95,100,5.01
140,Port Alfred,-33.59,57.0,89,0,3.0
141,Busselton,-33.64,55.92,56,5,12.01
142,Ambon,47.55,58.64,87,0,10.29
143,Bethel,60.79,69.75,49,20,13.87
144,Bubaque,11.28,79.72,82,100,9.89
145,Albany,42.65,65.07,82,1,4.7
146,Broome,52.47,48.85,93,51,3.36
147,Saldanha,41.42,67.84,53,0,7.47
148,Santa Maria la Alta,18.6,69.01,55,0,3.0
149,Torbay,47.66,51.66,100,90,13.87
150,Lasa,34.92,70.75,77,90,3.36
151,Geraldton,49.72,64.4,100,75,8.05
152,Dicabisagan,17.08,77.2,92,100,6.93
153,New Norfolk,-42.78,55.69,54,75,13.87
154,Nantucket,41.28,69.35,88,1,5.82
155,Artemovsk,54.35,68.92,50,0,2.75
156,Lagoa,37.14,68.07,73,0,9.01
157,Akot,21.09,84.22,63,67,14.45
158,Hilo,19.71,82.2,58,75,10.29
159,Guerrero Negro,27.97,67.12,87,0,15.28
160,Langarud,37.2,73.4,100,75,2.24
161,Arraial do Cabo,-22.97,71.6,88,75,2.24
162,Yerbogachen,61.28,76.3,47,0,11.43
163,Goundam,16.42,91.24,35,60,10.94
164,Umba,66.69,47.68,92,100,5.64
165,Hobart,-42.88,55.69,54,75,13.87
166,Rikitea,-23.12,73.24,78,0,12.1
167,Truth or Consequences,33.13,91.4,21,75,8.05
168,Saint George,39.45,69.8,83,40,1.41
169,Alice Springs,-23.7,55.4,50,0,12.75
170,Araouane,18.9,97.72,18,99,9.73
171,Mataura,-46.19,44.01,95,100,5.01
172,Ushuaia,-54.81,37.4,86,40,11.41
173,Ketchikan,55.34,63.41,72,75,12.75
174,Sao Joao da Barra,-21.64,68.02,75,38,0.89
175,Mar del Plata,-46.43,44.98,68,100,18.19
176,Rikitea,-23.12,73.24,78,0,12.1
177,New Norfolk,-42.78,55.69,54,75,13.87
178,Castro,-42.48,48.2,100,90,14.99
179,Vitim,59.44,81.16,47,33,12.86
180,Hermanus,-34.42,52.45,90,0,3.0
181,Hami,42.84,84.4,21,100,7.78
182,Qaanaaq,77.48,42.82,67,100,2.24
183,Tuktoyaktuk,69.44,51.8,87,75,16.11
184,Port Alfred,-33.59,57.0,89,0,3.0
185,Bredasdorp,-34.53,47.28,93,0,2.24
186,Baryatino,54.31,52.0,97,93,4.16
187,Dikson,73.51,33.46,98,100,16.58
188,Saldanha,41.42,67.84,53,0,7.47
189,Hobart,-42.88,55.69,54,75,13.87
190,Hermanus,-34.42,52.45,90,0,3.0
191,Mataura,-46.19,44.01,95,100,5.01
192,Tasiilaq,65.61,46.4,87,99,2.24
193,Hovd,63.83,50.4,87,75,12.75
194,Port Alfred,-33.59,57.0,89,0,3.0
195,Rikitea,-23.12,73.24,78,0,12.1
196,Siva,35.21,73.85,78,40,4.7
197,Atuona,-9.8,79.9,80,1,15.7
198,Carnarvon,-30.97,50.92,32,0,9.86
199,Avera,33.19,81.61,74,1,1.7
200,Mayo,63.59,68.0,60,90,11.41
201,Jaciara,-15.95,68.38,51,49,0.69
202,Atuona,-9.8,79.9,80,1,15.7
203,Aykhal,65.95,73.4,35,0,6.71
204,Avarua,-21.21,75.2,60,18,16.11
205,Punta Arenas,-53.16,40.06,75,40,21.92
206,Ribeira Grande,38.52,68.74,69,0,6.64
207,Dikson,73.51,33.46,98,100,16.58
208,Kaitangata,-46.28,50.0,63,100,5.99
209,Cacador,-26.78,48.22,96,95,2.89
210,San Rafael,-34.61,44.44,53,0,2.42
211,Puerto Ayora,-0.74,70.0,93,55,1.01
212,Lebu,8.96,53.6,87,40,4.7
213,Ushuaia,-54.81,37.4,86,40,11.41
214,Huilong,31.15,74.86,89,100,3.78
215,Waingapu,-9.65,79.9,55,19,14.18
216,Klaksvik,62.23,51.8,100,90,8.05
217,Dourbali,11.81,79.72,71,100,4.92
218,Albany,42.65,65.07,82,1,4.7
219,Puerto Ayora,-0.74,70.0,93,55,1.01
220,Ushuaia,-54.81,37.4,86,40,11.41
221,Dossor,47.52,77.56,49,0,9.89
222,Albany,42.65,65.07,82,1,4.7
223,Albany,42.65,65.07,82,1,4.7
224,Jamestown,-33.21,53.26,83,92,5.08
225,Catuday,16.29,83.32,77,41,10.4
226,Mareeba,-16.99,70.41,49,40,18.34
227,Labytnangi,66.66,59.38,76,55,4.74
228,Mataura,-46.19,44.01,95,100,5.01
229,Saint-Hubert,50.03,46.8,46,1,1.54
230,Boffa,10.18,79.18,84,100,11.34
231,Saint George,39.45,69.8,83,40,1.41
232,Caravelas,-17.73,69.1,90,0,9.62
233,Wagar,31.44,79.63,88,100,5.19
234,Pinawa,50.15,65.5,82,0,5.41
235,Port Alfred,-33.59,57.0,89,0,3.0
236,Georgetown,6.8,77.67,83,40,4.7
237,Kodiak,39.95,77.88,34,1,3.36
238,Kamenka,48.03,51.01,93,0,3.27
239,Mataura,-46.19,44.01,95,100,5.01
240,Carnarvon,-30.97,50.92,32,0,9.86
241,Bluff,-23.58,63.52,37,95,7.67
242,Qaanaaq,77.48,42.82,67,100,2.24
243,Saint-Philippe,45.36,69.19,82,1,8.46
244,Uri,34.09,66.58,75,0,1.16
245,Bonavista,48.65,51.01,83,100,3.0
246,Shepsi,44.04,71.98,68,7,15.68
247,Bredasdorp,-34.53,47.28,93,0,2.24
248,Ponta do Sol,-20.63,66.58,48,73,4.16
249,Lavrentiya,65.58,68.02,50,95,6.76
250,Norman Wells,65.28,78.8,50,75,6.93
251,Manakara,-22.14,65.14,87,49,5.57
252,Asyut,27.18,82.4,51,0,6.93
253,Pisz,53.63,48.2,93,0,2.24
254,Lorengau,-2.02,84.94,68,0,6.29
255,Punta Arenas,-53.16,40.06,75,40,21.92
256,Cidreira,-30.17,47.86,84,62,5.77
257,Cullinan,-25.67,41.88,45,0,2.24
258,Torbay,47.66,51.66,100,90,13.87
259,Faanui,-16.48,77.38,77,0,16.28
260,Vaini,15.34,71.6,94,40,4.7
261,Kavaratti,10.57,82.42,75,100,16.8
262,Mao,19.55,81.27,88,40,10.29
263,Tuktoyaktuk,69.44,51.8,87,75,16.11
264,Camacha,33.08,69.8,77,75,8.05
265,Hilo,19.71,82.2,58,75,10.29
266,Valparaiso,41.47,78.46,65,1,4.7
267,Lusambo,-4.97,68.56,46,0,2.1
268,Chokurdakh,70.62,41.74,83,100,17.05
269,Oxapampa,-10.58,51.46,97,66,1.41
270,Albany,42.65,65.07,82,1,4.7
271,Busselton,-33.64,55.92,56,5,12.01
272,Soyo,-6.13,71.44,92,82,3.27
273,Daru,-9.07,75.94,87,100,12.12
274,Mahebourg,-20.41,70.27,56,75,16.11
275,Lazaro Cardenas,28.39,95.0,12,5,5.82
276,Hermanus,-34.42,52.45,90,0,3.0
277,Ixtapa,20.71,83.68,74,90,4.7
278,Bathsheba,13.22,80.83,78,20,18.34
279,Ushuaia,-54.81,37.4,86,40,11.41
280,Kazuno,40.2,75.67,61,20,4.7
281,Vaini,15.34,71.6,94,40,4.7
282,Seymchan,62.93,57.76,71,100,3.65
283,Mataura,-46.19,44.01,95,100,5.01
284,Ushuaia,-54.81,37.4,86,40,11.41
285,Norman Wells,65.28,78.8,50,75,6.93
286,Key West,47.93,78.66,61,1,9.17
287,Bredasdorp,-34.53,47.28,93,0,2.24
288,Bluff,-23.58,63.52,37,95,7.67
289,Constitucion,23.99,73.4,35,90,12.75
290,Butaritari,3.07,83.5,75,98,15.21
291,Upernavik,72.79,47.5,66,42,3.42
292,Rikitea,-23.12,73.24,78,0,12.1
293,Hithadhoo,-0.6,82.06,77,96,19.46
294,Nanortalik,60.14,39.58,97,100,1.16
295,Batemans Bay,-35.71,57.27,32,8,6.42
296,Rikitea,-23.12,73.24,78,0,12.1
297,Chuy,-33.69,46.6,89,6,7.61
298,Rikitea,-23.12,73.24,78,0,12.1
299,Ojinaga,29.56,96.8,18,1,10.29
300,Puerto Leguizamo,-0.19,72.7,94,100,1.41
301,Roald,62.58,48.83,87,90,8.05
302,Ushuaia,-54.81,37.4,86,40,11.41
303,Ushuaia,-54.81,37.4,86,40,11.41
304,Faanui,-16.48,77.38,77,0,16.28
305,Hermanus,-34.42,52.45,90,0,3.0
306,Mataura,-46.19,44.01,95,100,5.01
307,Ushuaia,-54.81,37.4,86,40,11.41
308,Esmeraldas,-19.76,63.82,42,0,2.24
309,Bredasdorp,-34.53,47.28,93,0,2.24
310,Richards Bay,-28.77,64.42,64,0,7.05
311,Oussouye,12.49,80.6,83,75,4.7
312,Key West,47.93,78.66,61,1,9.17
313,Bakchar,57.02,63.16,74,96,3.78
314,Najran,17.54,86.0,20,40,5.97
315,Klaksvik,62.23,51.8,100,90,8.05
316,Ereymentau,51.62,78.1,40,33,8.52
317,Pevek,69.7,35.62,92,100,5.37
318,Tuktoyaktuk,69.44,51.8,87,75,16.11
319,Port Elizabeth,39.31,73.94,83,1,3.42
320,Guerrero Negro,27.97,67.12,87,0,15.28
321,Hobart,-42.88,55.69,54,75,13.87
322,Bahia Blanca,-38.72,43.72,60,13,8.86
323,Ugu,6.55,70.54,99,100,0.49
324,Castro,-42.48,48.2,100,90,14.99
325,Stokmarknes,68.56,43.0,92,100,9.08
326,Bredasdorp,-34.53,47.28,93,0,2.24
327,Ailigandi,9.23,80.08,80,100,9.08
328,Sola,-3.17,61.72,71,25,7.36
329,Rikitea,-23.12,73.24,78,0,12.1
330,Uhlove,44.82,70.36,69,100,3.49
331,Port Alfred,-33.59,57.0,89,0,3.0
332,Cherskiy,68.75,51.64,53,100,15.75
333,Victoria,5.28,81.23,78,90,2.24
334,Sola,-3.17,61.72,71,25,7.36
335,Makarov,48.62,71.44,50,94,4.25
336,Carnarvon,-30.97,50.92,32,0,9.86
337,Saquarema,-22.93,71.6,88,75,2.24
338,Victoria,5.28,81.23,78,90,2.24
339,Avarua,-21.21,75.2,60,18,16.11
340,Ilulissat,69.22,51.8,50,20,5.82
341,Laguna,16.17,80.6,88,75,4.7
342,Pocao de Pedras,-4.67,71.8,94,22,3.49
343,Darhan,49.49,66.76,81,95,6.51
344,Hobart,-42.88,55.69,54,75,13.87
345,Newbridge,53.18,60.08,77,75,6.93
346,Ushuaia,-54.81,37.4,86,40,11.41
347,Hasaki,35.73,69.46,94,75,9.17
348,Lata,30.78,45.52,91,18,6.51
349,Georgetown,6.8,77.67,83,40,4.7
350,Barrow,-38.31,40.84,73,0,6.11
351,Turbat,26.0,81.7,73,100,5.79
352,Rikitea,-23.12,73.24,78,0,12.1
353,Shakiso,5.77,52.54,99,100,2.1
354,Namibe,-15.19,66.94,74,0,7.31
355,Punta Arenas,-53.16,40.06,75,40,21.92
356,Itarema,-2.92,74.32,90,0,6.29
357,Qaanaaq,77.48,42.82,67,100,2.24
358,Seondha,26.15,90.34,54,63,16.62
359,Ushuaia,-54.81,37.4,86,40,11.41
360,Dikson,73.51,33.46,98,100,16.58
361,Kapaa,22.08,83.88,66,20,14.99
362,Salalah,17.01,78.8,94,90,5.82
363,Razole,16.48,83.86,78,100,6.69
364,Ushuaia,-54.81,37.4,86,40,11.41
365,Ariano Irpino,41.15,68.0,88,75,3.36
366,Rikitea,-23.12,73.24,78,0,12.1
367,Qaanaaq,77.48,42.82,67,100,2.24
368,Piacabucu,-10.41,71.08,80,76,2.64
369,Mount Isa,-20.73,64.4,25,0,11.41
370,Candolim,15.52,77.0,94,90,10.29
371,Hilo,19.71,82.2,58,75,10.29
372,Mataura,-46.19,44.01,95,100,5.01
373,Bluff,-23.58,63.52,37,95,7.67
374,Qaanaaq,77.48,42.82,67,100,2.24
375,Jamestown,-33.21,53.26,83,92,5.08
376,Upernavik,72.79,47.5,66,42,3.42
377,Hermanus,-34.42,52.45,90,0,3.0
378,Avarua,-21.21,75.2,60,18,16.11
379,Busselton,-33.64,55.92,56,5,12.01
380,Punta Arenas,-53.16,40.06,75,40,21.92
381,Pevek,69.7,35.62,92,100,5.37
382,Puerto Quijarro,-19.0,69.64,90,70,6.93
383,Hofn,64.25,43.72,99,100,3.42
384,Christchurch,-43.53,52.2,54,27,4.7
385,Arraial do Cabo,-22.97,71.6,88,75,2.24
386,Flinders,-34.58,63.81,44,0,16.11
387,Aripuana,-9.17,75.94,52,0,1.88
388,Bluff,-23.58,63.52,37,95,7.67
389,Busselton,-33.64,55.92,56,5,12.01
390,Ushuaia,-54.81,37.4,86,40,11.41
391,Garden City,43.62,82.38,22,1,8.05
392,Hovd,63.83,50.4,87,75,12.75
393,Nador,35.17,73.4,64,0,4.63
394,Iqaluit,63.75,43.34,100,90,12.62
395,Rawson,-43.3,49.48,39,100,11.86
396,Kodinar,20.79,83.5,71,67,19.19
397,Atuona,-9.8,79.9,80,1,15.7
398,Pevek,69.7,35.62,92,100,5.37
399,Kamina,-8.74,58.3,48,45,5.99
400,Yellowknife,62.45,75.07,44,75,8.05
401,Punta Arenas,-53.16,40.06,75,40,21.92
402,Bangarapet,12.97,74.41,83,40,13.87
403,San Patricio,-26.98,50.56,91,0,4.07
404,Bluff,-23.58,63.52,37,95,7.67
405,Punta Arenas,-53.16,40.06,75,40,21.92
406,Albany,42.65,65.07,82,1,4.7
407,Bambous Virieux,-20.34,70.05,56,40,16.11
408,Hobart,-42.88,55.69,54,75,13.87
409,Hasaki,35.73,69.46,94,75,9.17
410,Bluff,-23.58,63.52,37,95,7.67
411,Puerto Ayora,-0.74,70.0,93,55,1.01
412,Mayo,63.59,68.0,60,90,11.41
413,Port Alfred,-33.59,57.0,89,0,3.0
414,Barrow,-38.31,40.84,73,0,6.11
415,Lovozero,68.01,44.98,93,100,5.66
416,Kapaa,22.08,83.88,66,20,14.99
417,Nema,57.51,58.3,83,100,12.17
418,Pevek,69.7,35.62,92,100,5.37
419,Hammonton,39.64,74.43,83,1,1.77
420,Atuona,-9.8,79.9,80,1,15.7
421,Tasiilaq,65.61,46.4,87,99,2.24
422,Hobart,-42.88,55.69,54,75,13.87
423,Ribeira Grande,38.52,68.74,69,0,6.64
424,Albany,42.65,65.07,82,1,4.7
425,Bambous Virieux,-20.34,70.05,56,40,16.11
426,Sourpi,39.1,69.42,83,40,4.7
427,East London,-33.02,51.82,94,0,4.25
428,Kapaa,22.08,83.88,66,20,14.99
429,Bereda,43.27,60.98,93,75,10.29
430,Ponta do Sol,-20.63,66.58,48,73,4.16
431,Torbay,47.66,51.66,100,90,13.87
432,Taoudenni,22.68,95.74,20,0,11.05
433,Vaini,15.34,71.6,94,40,4.7
434,Broome,52.47,48.85,93,51,3.36
435,Helmbrechts,50.23,50.5,93,1,2.04
436,De Aar,-30.65,49.3,32,0,7.45
437,Khatanga,71.98,61.18,74,99,4.03
438,Whitehorse,60.72,69.62,35,75,9.17
439,Mataura,-46.19,44.01,95,100,5.01
440,Puerto Ayora,-0.74,70.0,93,55,1.01
441,Conde,-11.81,64.06,93,59,1.05
